,Country,Year,suicides_per_100k
329,Seychelles,2019,0.597524541186513
330,Seychelles,2020,0.0
331,Singapore,2015,8.846190558775406
332,Singapore,2017,0.4558478267699858
333,Singapore,2018,0.49361469489173226
334,Singapore,2019,0.47046565638696286
335,Singapore,2020,0.5261639494036057
336,Slovakia,2017,77.0197663528368
337,Slovakia,2018,84.15861759791336
338,Slovakia,2019,73.10292892392489
339,Slovakia,2020,0.0
340,Slovenia,2015,21.589741700739577
341,Slovenia,2017,1.6574815571906147
342,Slovenia,2018,1.4184267212628354
343,Slovenia,2019,1.5642071105982214
344,Slovenia,2020,1.4586372491243025
345,South Africa,2015,0.9712364888309818
346,South Africa,2017,0.055318969856969914
347,South Africa,2018,0.0456345190663782
348,South Africa,2019,0.0
349,South Africa,2020,0.0
350,Spain,2015,8.156332174367718
351,Spain,2017,0.7374103256818937
352,Spain,2018,0.630550204040419
353,Spain,2019,0.7264619726311278
354,Spain,2020,0.7686652561509671
355,Sweden,2015,12.968312991440913
356,Sweden,2016,13.906234078592618
357,Sweden,2017,0.9859777721171054
358,Sweden,2018,1.0417471318047955
359,Sweden,2019,0.0
360,Sweden,2020,0.0
361,Switzerland,2015,13.59518185741353
362,Switzerland,2017,1.0283756751981423
363,Switzerland,2018,0.9826571966700683
364,Switzerland,2019,0.0
365,Switzerland,2020,0.0
366,Tajikistan,2017,0.16525638547872534
367,Tajikistan,2018,0.0
368,Tajikistan,2019,0.0
369,Tajikistan,2020,0.0
370,Thailand,2015,6.864042466239195
371,Thailand,2016,7.703678610387362
372,Thailand,2017,0.5115315430237097
373,Thailand,2018,0.5506520033708713
374,Thailand,2019,0.6719698480327684
375,Thailand,2020,0.0
376,Turkey,2015,2.131316236355959
377,Turkey,2017,0.0
378,Turkey,2018,0.0
379,Turkey,2019,0.3399947386463039
380,Turkey,2020,0.0
381,Turkmenistan,2015,2.72177671035016
382,Ukraine,2015,18.772874638689085
383,Ukraine,2017,1.228684781978715
384,Ukraine,2018,1.0973532839779832
385,Ukraine,2019,1.0921186477698936
386,Ukraine,2020,0.0
387,United Kingdom,2015,8.038250678888389
388,United Kingdom,2017,0.5777675734100504
389,United Kingdom,2018,0.6289464887512469
390,United Kingdom,2019,0.7277728871406514
391,United Kingdom,2020,0.0
392,United States,2015,14.72581287235193
393,United States of America,2017,0.4077185830099308
394,United States of America,2018,0.41202854219211593
395,United States of America,2019,0.36977538060115195
396,United States of America,2020,0.36643922849361454
397,Uruguay,2015,19.74429570060126
398,Uruguay,2017,1.6753355541269748
399,Uruguay,2018,1.7240329512545611
400,Uruguay,2019,1.757374922303611
401,Uruguay,2020,0.0
402,Uzbekistan,2017,0.6218751865368268
403,Uzbekistan,2018,0.576018804814081
404,Uzbekistan,2019,0.5752372046946106
405,Uzbekistan,2020,0.0
